Date,Pollution Level,pH Level,Temperature,Fuzzy Quality Score,Fuzzy Quality Description
2013-01-03,16.72,8.44,7.46,19.42,Poor
2013-01-14,25.68,6.14,12.22,46.03,Poor
2013-02-04,59.42,8.58,7.84,33.20,Poor
2013-02-18,51.36,6.61,14.97,48.61,Poor
2013-03-18,99.59,6.55,15.56,16.67,Poor
2013-03-24,51.02,6.36,19.40,48.95,Poor
2013-04-13,46.59,6.36,8.85,36.28,Poor
2013-04-14,26.38,6.23,10.32,27.56,Poor
2013-05-24,93.52,8.67,13.41,16.91,Poor
2013-05-25,5.65,8.06,12.58,23.04,Poor
2013-06-16,84.77,6.64,12.22,17.85,Poor
2013-06-27,7.29,8.30,11.13,21.94,Poor
2013-07-04,52.49,7.07,19.99,47.51,Poor
2013-07-22,56.07,6.28,21.25,44.06,Poor
2013-08-05,63.38,6.60,16.73,35.15,Poor
2013-08-06,70.82,8.91,10.65,20.25,Poor
2013-09-16,78.66,8.38,9.91,18.79,Poor
2013-09-24,61.19,6.76,10.15,35.37,Poor
2013-10-13,29.28,7.15,18.29,79.73,Good
2013-10-17,35.07,7.65,16.62,65.74,Average
2013-11-13,16.02,7.87,8.59,20.14,Poor
2013-11-16,26.01,8.31,7.27,19.30,Poor
2013-12-24,51.87,6.01,7.92,35.33,Poor
2013-12-28,15.27,8.28,17.39,23.53,Poor
2014-01-08,68.56,7.36,17.73,24.19,Poor
2014-01-12,51.41,6.44,20.40,48.56,Poor
2014-02-07,19.01,8.84,24.20,22.52,Poor
2014-02-27,92.89,6.60,16.79,16.96,Poor
2014-03-04,39.83,6.98,16.26,60.37,Average
2014-03-12,87.72,8.56,5.98,17.47,Poor
2014-04-01,50.17,7.68,21.25,48.60,Poor
2014-04-04,16.79,6.84,22.88,81.93,Good
2014-05-03,94.11,8.27,24.86,16.87,Poor
2014-05-09,50.84,7.55,18.43,49.13,Poor
2014-06-22,62.40,7.76,5.56,29.04,Poor
2014-06-25,55.27,6.54,21.34,44.85,Poor
2014-07-20,69.78,8.88,21.64,21.00,Poor
2014-07-26,94.66,6.84,24.82,16.84,Poor
2014-08-09,38.43,7.01,13.15,54.88,Average
2014-08-17,76.63,6.27,9.05,20.62,Poor
2014-09-12,74.42,8.72,8.07,19.55,Poor
2014-09-17,66.11,8.59,23.15,29.98,Poor
2014-10-01,51.32,6.03,17.05,48.65,Poor
2014-10-04,84.50,6.22,20.22,19.43,Poor
2014-11-16,7.93,7.26,10.46,29.45,Poor
2014-11-21,45.94,6.08,15.27,53.77,Average
2014-12-02,23.80,7.99,8.33,19.97,Poor
2014-12-12,96.36,8.11,14.44,16.75,Poor
2015-01-12,2.12,6.38,16.34,78.36,Good
2015-01-27,51.21,6.21,24.93,48.75,Poor
2015-02-14,83.51,6.66,23.00,18.03,Poor
2015-02-24,90.25,8.85,21.17,17.20,Poor
2015-03-24,36.14,6.14,14.73,58.51,Average
2015-03-26,51.39,7.15,24.75,48.58,Poor
2015-04-07,42.79,7.12,9.22,35.87,Poor
2015-04-09,17.69,8.96,11.73,22.30,Poor
2015-05-11,73.99,7.63,21.16,19.63,Poor
2015-05-23,95.06,8.53,11.33,16.81,Poor
2015-06-06,96.85,7.50,18.09,16.73,Poor
2015-06-11,62.81,7.72,14.10,36.05,Poor
2015-07-06,24.43,8.82,9.45,20.73,Poor
2015-07-27,39.32,8.97,13.38,38.55,Poor
2015-08-15,91.37,8.74,9.45,17.09,Poor
2015-08-22,62.76,8.60,5.41,28.62,Poor
2015-09-21,57.96,7.57,22.19,42.13,Poor
2015-09-27,83.34,6.64,14.34,18.05,Poor
2015-10-25,79.19,7.40,21.08,18.71,Poor
2015-10-27,73.27,8.48,10.94,19.77,Poor
2015-11-01,72.79,8.03,14.42,19.86,Poor
2015-11-13,61.24,7.96,5.70,30.04,Poor
2015-12-02,30.95,8.97,18.17,25.57,Poor
2015-12-12,46.71,7.24,21.95,53.26,Average
2016-01-01,17.12,6.45,17.71,79.67,Good
2016-01-02,9.43,8.02,17.51,24.01,Poor
2016-02-12,5.06,8.81,8.82,20.29,Poor
2016-02-20,76.06,6.37,23.83,20.09,Poor
2016-03-16,44.40,7.86,9.00,36.04,Poor
2016-03-28,71.08,6.54,15.19,20.20,Poor
2016-04-11,1.39,8.29,10.54,21.50,Poor
2016-04-13,75.97,7.40,16.42,19.27,Poor
2016-05-06,49.96,8.95,5.10,32.86,Poor
2016-05-19,47.40,8.24,19.40,44.75,Poor
2016-06-19,0.12,6.93,19.96,83.25,Good
2016-06-25,1.38,7.43,24.67,80.86,Good
2016-07-03,78.52,7.96,23.91,18.82,Poor
2016-07-27,37.10,7.51,17.84,63.99,Average
2016-08-19,18.70,8.74,22.86,22.69,Poor
2016-08-20,9.55,6.88,10.58,31.41,Poor
2016-09-05,64.93,6.11,23.14,32.39,Poor
2016-09-20,96.19,7.72,8.09,16.76,Poor
2016-10-08,2.76,7.17,18.44,82.93,Good
2016-10-10,73.87,8.86,22.81,19.66,Poor
2016-11-05,81.89,8.92,12.84,18.27,Poor
2016-11-22,97.68,6.20,12.68,18.29,Poor
2016-12-07,93.04,8.44,10.13,16.95,Poor
2016-12-14,94.48,7.15,24.19,16.85,Poor
2017-01-06,88.83,7.81,21.24,17.35,Poor
2017-01-12,35.85,8.81,20.44,36.69,Poor
2017-02-25,94.40,8.94,9.37,16.85,Poor
2017-02-26,1.31,7.79,24.05,67.38,Average
2017-03-11,2.11,8.67,5.53,18.32,Poor
2017-03-23,47.16,7.97,5.70,33.13,Poor
2017-04-20,45.41,8.85,21.81,41.19,Poor
2017-04-27,86.30,6.48,12.01,17.79,Poor
2017-05-10,21.70,8.50,15.32,23.13,Poor
2017-05-24,20.00,6.90,13.90,69.26,Average
2017-06-21,54.45,6.39,6.96,33.98,Poor
2017-06-21,70.88,6.18,20.94,22.53,Poor
2017-07-04,17.63,9.00,24.18,22.25,Poor
2017-07-06,71.16,6.68,5.61,18.36,Poor
2017-08-08,74.84,6.88,18.45,19.47,Poor
2017-08-17,86.30,8.65,7.30,17.65,Poor
2017-09-05,87.85,6.93,23.64,17.46,Poor
2017-09-23,92.48,7.33,14.46,16.99,Poor
2017-10-01,70.38,8.37,17.58,20.34,Poor
2017-10-17,5.29,6.97,13.29,63.26,Average
2017-11-20,66.38,8.82,8.81,27.60,Poor
2017-11-20,45.71,8.85,23.94,41.20,Poor
2017-12-11,25.73,8.64,8.36,19.99,Poor
2017-12-14,19.08,8.35,14.69,23.40,Poor
2018-01-01,34.47,7.45,19.99,68.82,Average
2018-01-01,59.53,7.60,14.28,40.39,Poor
2018-02-15,54.88,8.69,21.07,41.93,Poor
2018-02-19,56.49,6.57,19.93,43.64,Poor
2018-03-02,42.86,7.68,9.09,35.72,Poor
2018-03-03,75.73,6.62,9.97,19.31,Poor
2018-04-23,82.79,8.72,21.54,18.14,Poor
2018-04-25,96.41,8.00,14.28,16.75,Poor
2018-05-08,26.56,7.77,12.23,52.49,Average
2018-05-10,56.08,6.86,15.51,44.05,Poor
2018-06-07,56.06,6.26,18.53,44.07,Poor
2018-06-28,42.00,8.10,7.40,33.37,Poor
2018-07-14,12.97,6.81,24.03,81.41,Good
2018-07-19,61.45,6.21,17.76,38.00,Poor
2018-08-10,80.49,6.80,10.81,18.49,Poor
2018-08-13,30.88,7.72,16.98,71.30,Good
2018-09-07,14.37,7.28,15.35,80.87,Good
2018-09-24,47.44,6.91,7.85,35.19,Poor
2018-10-16,71.27,8.11,17.22,20.16,Poor
2018-10-24,68.80,6.72,21.27,23.56,Poor
2018-11-16,91.64,6.77,11.78,17.07,Poor
2018-11-26,88.58,6.20,23.57,19.02,Poor
2018-12-03,7.52,6.93,12.21,52.30,Average
2018-12-07,72.73,7.05,14.51,19.87,Poor
2019-01-09,14.00,6.30,16.26,76.83,Good
2019-01-14,91.39,8.27,9.62,17.09,Poor
2019-02-16,14.57,8.57,16.71,23.01,Poor
2019-02-19,61.21,6.20,19.96,38.32,Poor
2019-03-01,59.53,8.31,16.74,40.39,Poor
2019-03-28,71.74,7.68,11.18,20.07,Poor
2019-04-04,13.74,8.37,21.01,23.37,Poor
2019-04-22,32.28,8.23,6.55,23.14,Poor
2019-05-03,83.43,7.58,16.52,18.04,Poor
2019-05-15,44.36,6.03,19.90,51.78,Average
2019-06-15,37.07,8.77,12.10,38.13,Poor
2019-06-23,40.25,7.28,5.11,30.51,Poor
2019-07-05,81.13,8.80,16.45,18.39,Poor
2019-07-27,25.10,7.60,19.92,77.27,Good
2019-08-01,56.58,7.63,22.30,43.55,Poor
2019-08-23,12.89,7.79,6.11,18.63,Poor
2019-09-14,6.44,7.79,23.79,67.18,Average
2019-09-18,94.99,8.93,7.45,16.82,Poor
2019-10-08,72.87,8.29,22.00,19.85,Poor
2019-10-21,30.64,8.44,9.57,22.46,Poor
2019-11-03,77.21,6.67,10.23,19.04,Poor
2019-11-10,56.05,6.62,23.18,44.08,Poor
2019-12-09,97.23,6.95,11.41,16.71,Poor
2019-12-18,29.66,8.78,23.98,22.63,Poor
2020-01-03,44.82,6.45,15.36,55.07,Average
2020-01-24,16.89,7.03,6.01,18.58,Poor
2020-02-03,47.36,6.96,17.54,52.64,Average
2020-02-09,45.60,6.38,15.10,54.32,Average
2020-03-03,61.28,7.05,11.35,37.62,Poor
2020-03-06,91.63,7.69,14.41,17.07,Poor
2020-04-15,44.81,8.29,17.29,44.17,Poor
2020-04-19,37.15,8.20,6.83,29.77,Poor
2020-05-09,25.28,7.74,22.40,70.69,Good
2020-05-20,48.13,7.78,8.80,36.38,Poor
2020-06-16,66.29,6.45,9.82,29.12,Poor
2020-06-18,44.62,8.05,10.30,38.03,Poor
2020-07-09,65.60,6.83,18.43,31.04,Poor
2020-07-20,51.73,7.81,6.75,34.14,Poor
2020-08-06,65.45,8.05,10.02,30.77,Poor
2020-08-16,97.58,6.81,10.05,16.70,Poor
2020-09-08,10.12,8.83,15.01,22.54,Poor
2020-09-12,48.90,8.74,10.65,39.16,Poor
2020-10-09,36.63,7.70,6.91,29.35,Poor
2020-10-17,85.70,7.29,7.65,17.73,Poor
2020-11-11,31.13,8.02,19.89,32.21,Poor
2020-11-24,27.76,9.00,21.58,22.24,Poor
2020-12-18,77.44,6.64,6.58,18.90,Poor
2020-12-26,16.09,6.97,6.87,19.06,Poor
2021-01-19,22.98,8.16,22.03,23.75,Poor
2021-01-28,18.81,8.26,6.11,18.63,Poor
2021-02-06,78.48,6.91,9.78,18.82,Poor
2021-02-21,49.86,6.63,13.54,45.62,Poor
2021-03-01,10.00,7.80,24.09,66.97,Average
2021-03-22,99.98,8.92,19.66,16.67,Poor
2021-04-07,40.74,7.46,11.70,48.02,Poor
2021-04-10,27.25,7.37,5.18,18.15,Poor
2021-05-04,34.15,7.62,18.44,67.79,Average
2021-05-20,37.79,8.36,5.63,29.25,Poor
2021-06-21,9.95,7.01,11.49,44.04,Poor
2021-06-26,71.22,6.49,23.27,20.27,Poor
2021-07-12,9.56,6.58,9.07,20.47,Poor
2021-07-15,70.90,8.60,15.07,20.24,Poor
2021-08-03,35.54,6.05,11.27,38.75,Poor
2021-08-10,10.48,7.31,5.18,18.14,Poor
2021-09-08,20.22,8.01,17.67,24.04,Poor
2021-09-18,95.73,7.66,17.09,16.78,Poor
2021-10-06,17.52,7.43,24.25,81.17,Good
2021-10-12,44.03,7.39,11.36,45.40,Poor
2021-11-16,68.08,8.75,7.10,22.95,Poor
2021-11-27,84.23,7.54,22.30,17.93,Poor
2021-12-03,14.00,7.00,17.52,82.31,Good
2021-12-10,56.35,7.88,9.76,36.93,Poor
2022-01-02,26.31,8.64,18.45,22.88,Poor
2022-01-03,76.79,8.10,14.46,19.12,Poor
2022-02-03,22.26,8.18,16.67,23.72,Poor
2022-02-14,69.01,8.54,11.96,23.02,Poor
2022-03-05,17.23,8.52,21.28,23.09,Poor
2022-03-16,86.68,6.28,10.11,18.80,Poor
2022-04-19,71.50,6.55,21.90,20.12,Poor
2022-04-19,80.42,8.74,17.82,18.50,Poor
2022-05-07,63.05,8.11,24.94,35.68,Poor
2022-05-17,92.96,8.93,6.52,16.96,Poor
2022-06-13,26.49,6.90,18.62,80.28,Good
2022-06-26,98.31,6.87,11.32,16.69,Poor
2022-07-09,96.15,7.92,22.96,16.76,Poor
2022-07-18,82.16,8.55,23.38,18.23,Poor
2022-08-02,99.15,8.99,19.14,16.67,Poor
2022-08-17,84.46,6.97,11.73,17.90,Poor
2022-09-07,30.66,7.23,10.10,24.31,Poor
2022-09-14,11.65,8.79,22.76,22.61,Poor
2022-10-12,48.88,6.74,19.62,51.15,Average
2022-10-24,17.59,7.85,22.58,61.95,Average
2022-11-12,47.16,8.67,19.91,42.32,Poor
2022-11-16,52.82,8.58,19.75,42.76,Poor
2022-12-17,59.61,7.40,8.46,33.84,Poor
2022-12-24,12.53,6.30,6.95,20.35,Poor
2023-01-02,56.64,7.66,12.36,41.86,Poor
2023-01-25,79.14,8.33,21.79,18.71,Poor
2023-02-10,66.79,7.53,6.25,24.40,Poor
2023-02-24,94.66,8.60,16.12,16.84,Poor
2023-03-07,43.09,6.71,6.04,32.49,Poor
2023-03-28,53.66,8.36,21.84,43.95,Poor
2023-04-15,92.96,7.88,6.45,16.96,Poor
2023-04-22,57.71,6.20,24.77,42.40,Poor
2023-05-23,90.99,7.96,12.77,17.13,Poor
2023-05-24,22.76,7.81,15.36,66.41,Average
2023-06-26,5.60,7.88,17.88,58.84,Average
2023-06-28,62.74,7.44,15.08,36.15,Poor
2023-07-24,41.94,7.29,18.23,57.98,Average
2023-07-28,92.08,7.80,10.26,17.03,Poor
2023-08-12,46.18,8.37,18.72,43.85,Poor
2023-08-17,26.66,7.04,11.18,40.14,Poor
2023-09-21,50.36,6.20,10.28,38.56,Poor
2023-09-23,19.23,6.16,16.19,72.27,Good
2023-10-06,66.80,7.06,24.70,28.44,Poor
2023-10-22,58.81,8.65,8.50,34.29,Poor
2023-11-07,57.39,7.29,10.14,37.21,Poor
2023-11-12,67.29,8.03,16.59,27.30,Poor
2023-12-09,5.16,6.84,16.00,81.43,Good
2023-12-15,33.33,8.66,21.97,33.59,Poor
