Date,Pollution Level,pH Level,Temperature,Fuzzy Quality Score,Fuzzy Quality Description
2013-01-18,68.61,8.81,21.06,24.06,Poor
2013-01-18,99.98,7.27,17.65,16.67,Poor
2013-02-12,36.28,7.39,16.54,65.43,Average
2013-02-14,22.85,6.05,16.18,63.49,Average
2013-03-03,33.33,6.89,10.24,31.39,Poor
2013-03-09,75.64,8.07,12.25,19.33,Poor
2013-04-01,32.75,7.07,8.05,25.29,Poor
2013-04-14,86.48,7.44,19.16,17.63,Poor
2013-05-03,47.44,7.37,13.74,48.53,Poor
2013-05-04,63.18,7.32,5.87,28.59,Poor
2013-06-08,41.42,7.44,20.53,58.53,Average
2013-06-27,2.43,8.28,8.03,19.78,Poor
2013-07-22,50.70,7.46,11.07,39.92,Poor
2013-07-26,88.09,8.94,14.44,17.43,Poor
2013-08-18,88.35,6.84,12.34,17.40,Poor
2013-08-24,51.05,7.66,11.14,40.04,Poor
2013-09-05,65.85,6.17,5.09,24.90,Poor
2013-09-11,24.21,6.30,20.13,76.74,Good
2013-10-04,47.00,7.57,15.46,52.41,Average
2013-10-11,93.53,6.68,17.95,16.91,Poor
2013-11-03,19.31,8.49,23.09,23.15,Poor
2013-11-05,71.42,8.99,13.80,20.13,Poor
2013-12-06,50.22,6.85,19.53,49.77,Poor
2013-12-12,84.38,6.53,6.37,17.91,Poor
2014-01-22,97.66,6.38,6.05,17.36,Poor
2014-01-25,14.26,8.36,23.35,23.39,Poor
2014-02-19,93.79,6.38,12.02,17.55,Poor
2014-02-20,62.82,8.24,7.18,30.14,Poor
2014-03-15,39.77,8.55,19.11,41.23,Poor
2014-03-19,17.96,7.99,24.59,32.03,Poor
2014-04-04,88.96,8.56,5.32,17.33,Poor
2014-04-11,54.20,8.28,7.35,34.41,Poor
2014-05-16,69.75,7.07,11.12,21.08,Poor
2014-05-26,46.88,8.85,17.92,41.38,Poor
2014-06-07,6.65,7.15,23.05,82.14,Good
2014-06-22,0.08,7.15,16.30,81.67,Good
2014-07-08,42.87,7.16,17.17,57.00,Average
2014-07-28,46.10,7.34,9.87,37.63,Poor
2014-08-14,37.75,7.50,22.25,63.07,Average
2014-08-16,23.20,6.15,17.45,72.05,Good
2014-09-16,97.20,8.58,24.38,16.72,Poor
2014-09-26,40.25,7.10,10.18,37.29,Poor
2014-10-05,48.28,6.57,9.66,37.56,Poor
2014-10-07,95.98,8.97,7.15,16.77,Poor
2014-11-20,10.41,7.26,20.86,82.41,Good
2014-11-27,2.39,6.04,11.54,32.13,Poor
2014-12-17,63.96,7.31,12.32,34.16,Poor
2014-12-25,89.58,7.74,14.17,17.27,Poor
2015-01-06,34.51,7.43,7.45,27.39,Poor
2015-01-13,74.34,6.63,22.38,19.57,Poor
2015-02-10,15.62,7.10,24.75,80.79,Good
2015-02-22,21.52,6.36,15.13,78.01,Good
2015-03-10,19.04,6.64,15.65,81.14,Good
2015-03-26,89.00,6.75,19.93,17.33,Poor
2015-04-09,81.74,8.95,7.05,18.30,Poor
2015-04-18,54.07,8.66,5.26,32.61,Poor
2015-05-04,15.40,7.95,16.85,46.89,Poor
2015-05-25,12.09,8.30,16.06,23.50,Poor
2015-06-07,30.09,7.84,14.06,61.56,Average
2015-06-12,30.09,6.87,5.35,18.39,Poor
2015-07-14,66.83,8.31,22.54,28.38,Poor
2015-07-21,54.11,7.70,9.41,36.91,Poor
2015-08-16,22.94,6.58,14.85,78.97,Good
2015-08-22,48.04,6.45,15.52,51.98,Average
2015-09-04,61.27,6.32,13.09,38.23,Poor
2015-09-09,58.15,7.82,18.07,41.93,Poor
2015-10-22,90.66,6.91,7.97,17.16,Poor
2015-10-27,69.53,6.96,14.55,21.68,Poor
2015-11-03,60.92,6.20,9.29,34.20,Poor
2015-11-18,15.99,8.38,14.65,23.34,Poor
2015-12-18,14.12,7.02,11.06,38.48,Poor
2015-12-26,3.03,8.81,8.93,20.37,Poor
2016-01-10,59.72,8.00,10.53,36.91,Poor
2016-01-11,30.88,7.95,13.12,38.99,Poor
2016-02-08,94.71,8.00,16.38,16.84,Poor
2016-02-15,52.01,7.43,6.29,33.71,Poor
2016-03-05,3.06,8.81,23.38,22.57,Poor
2016-03-20,49.30,8.01,16.72,46.27,Poor
2016-04-02,11.03,8.55,9.17,20.53,Poor
2016-04-11,42.18,7.81,14.21,54.83,Average
2016-05-13,16.13,8.65,16.58,22.85,Poor
2016-05-17,56.48,7.87,18.68,43.65,Poor
2016-06-09,65.66,8.26,15.89,30.93,Poor
2016-06-22,66.50,6.97,12.40,29.12,Poor
2016-07-07,79.21,8.96,21.34,18.70,Poor
2016-07-16,17.10,7.17,5.67,18.40,Poor
2016-08-02,75.06,6.94,24.05,19.43,Poor
2016-08-12,99.18,6.03,10.98,19.10,Poor
2016-09-20,16.15,8.27,17.89,23.56,Poor
2016-09-27,39.21,8.05,19.86,44.58,Poor
2016-10-21,74.01,6.96,11.20,19.63,Poor
2016-10-21,18.67,8.44,13.21,23.24,Poor
2016-11-15,35.32,7.22,11.76,47.98,Poor
2016-11-20,73.68,7.23,11.26,19.69,Poor
2016-12-08,64.87,7.64,21.31,32.50,Poor
2016-12-11,27.02,7.31,12.24,52.64,Average
2017-01-11,39.35,6.27,13.94,56.71,Average
2017-01-27,67.81,8.99,12.85,26.06,Poor
2017-02-06,99.36,6.53,11.59,16.67,Poor
2017-02-18,85.38,7.63,17.79,17.77,Poor
2017-03-26,33.15,6.58,22.51,71.69,Good
2017-03-26,78.36,6.97,16.73,18.84,Poor
2017-04-08,80.44,6.82,23.40,18.50,Poor
2017-04-12,7.12,7.98,10.02,21.47,Poor
2017-05-04,44.76,7.44,20.72,55.13,Average
2017-05-08,65.82,8.53,13.75,30.58,Poor
2017-06-06,14.08,8.70,10.86,21.74,Poor
2017-06-16,8.50,6.66,23.18,81.87,Good
2017-07-02,39.05,8.41,22.90,41.80,Poor
2017-07-21,0.39,6.89,21.69,82.93,Good
2017-08-25,88.39,7.09,16.54,17.40,Poor
2017-08-28,34.06,6.41,22.10,69.66,Average
2017-09-23,93.05,7.41,19.35,16.95,Poor
2017-09-27,94.84,8.80,18.46,16.83,Poor
2017-10-05,10.34,6.80,21.94,82.74,Good
