Date,Pollution Level,pH Level,Temperature,Fuzzy Quality Score,Fuzzy Quality Description
2013-01-13,40.51,6.65,16.75,59.56,Average
2013-01-25,32.15,6.95,6.42,22.82,Poor
2013-02-06,43.22,6.02,8.05,34.53,Poor
2013-02-13,2.32,8.56,6.53,18.87,Poor
2013-03-08,92.36,6.55,17.16,17.00,Poor
2013-03-16,8.66,8.48,11.70,22.36,Poor
2013-04-18,66.51,8.85,13.50,29.09,Poor
2013-04-23,8.73,8.40,10.99,21.83,Poor
2013-05-05,57.88,8.02,14.08,42.22,Poor
2013-05-13,27.94,7.03,17.20,79.99,Good
2013-06-05,89.65,6.40,8.94,17.81,Poor
2013-06-27,88.55,6.60,5.80,17.38,Poor
2013-07-02,17.26,7.86,5.81,18.47,Poor
2013-07-05,91.86,7.45,24.28,17.05,Poor
2013-08-09,8.70,6.68,5.72,18.42,Poor
2013-08-14,37.97,7.38,8.85,32.78,Poor
2013-09-08,0.91,6.30,21.59,76.84,Good
2013-09-09,99.94,8.39,11.29,16.67,Poor
2013-10-13,66.24,8.98,11.94,29.68,Poor
2013-10-14,86.73,6.72,8.33,17.59,Poor
2013-11-13,99.62,6.77,13.82,16.67,Poor
2013-11-23,67.80,8.03,17.21,26.06,Poor
2013-12-05,94.67,7.09,19.22,16.84,Poor
2013-12-11,51.51,6.75,9.76,37.72,Poor
2014-01-07,98.17,6.89,19.51,16.69,Poor
2014-01-19,23.54,8.39,9.77,20.95,Poor
2014-02-24,86.95,8.14,16.87,17.57,Poor
2014-02-28,59.74,7.67,6.55,31.71,Poor
2014-03-02,13.90,8.47,6.38,18.78,Poor
2014-03-27,89.17,8.25,23.30,17.31,Poor
2014-04-18,82.40,8.76,5.37,18.19,Poor
2014-04-19,56.17,6.43,7.51,34.12,Poor
2014-05-14,50.12,8.12,10.00,38.12,Poor
2014-05-21,52.72,8.13,5.76,33.20,Poor
2014-06-19,75.62,8.01,11.74,19.33,Poor
2014-06-23,67.66,7.64,5.77,22.67,Poor
2014-07-01,90.79,6.63,8.29,17.14,Poor
2014-07-25,34.50,6.01,17.75,51.56,Average
2014-08-14,48.13,8.87,19.36,41.35,Poor
2014-08-28,22.39,8.69,12.96,22.79,Poor
2014-09-18,77.80,6.76,8.50,18.94,Poor
2014-09-23,51.90,7.84,19.38,47.44,Poor
2014-10-16,53.93,8.97,16.55,40.70,Poor
2014-10-21,55.80,8.37,24.52,43.57,Poor
2014-11-03,12.46,8.54,21.82,23.06,Poor
2014-11-26,0.13,7.83,22.90,64.59,Average
2014-12-01,42.64,6.73,18.94,57.24,Average
2014-12-26,32.72,6.77,15.38,72.67,Good
2015-01-09,14.24,7.21,10.26,26.04,Poor
2015-01-19,98.03,8.54,9.99,16.69,Poor
2015-02-01,31.87,6.25,13.42,60.80,Average
2015-02-25,35.09,8.98,8.27,29.07,Poor
